"ESXi510-201605001","ESXi 5.1 Patch 9",2016-05-24,3872664
"ESXi510-201605001","ESXi 5.1 Patch 9",2016-05-24,3872638
"ESXi510-201510001","5.1.0 Patch 8",2015-10-01,3070626
"ESXi510-201503001","5.1.0 Patch 7",2015-03-26,2583090
"VMware ESXi 5.1 Update 3","5.1.0 U3",2014-12-04,2323236
"ESXi510-201410001","5.1.0 Patch 6",2014-10-31,2191751
"ESXi510-201407001","5.1.0 Patch 5",31.07.14,2000251
"ESXi510-201406001","5.1.0 Express Patch 5",17.06.14,1900470
"ESXi510-201404001","5.1.0 Patch 4",29.04.14,1743533
"ESXi510-201402001","5.1.0 Express Patch 4",27.02.14,1612806
"VMware ESXi 5.1 Update 2","5.1.0 U2",16.01.14,1483097
"ESXi510-201310001","5.1.0 Patch 3",17.10.13,1312873
"ESXi510-201307001","5.1.0 Patch 2",25.07.13,1157734
"ESXi510-201305001","5.1.0 Express Patch 3",22.05.13,1117900
"VMware ESXi 5.1 Update 1","5.1.0 U1",25.04.13,1065491
"ESXi510-201303001","5.1.0 Express Patch 2",07.03.13,1021289
"ESXi510-201212001","5.1.0 Patch 1",20.12.12,914609
"ESXi510-201210001","5.1.0a",24.10.12,838463
"KB2034796",05.01.00,"Hot-Patch",837262
"VMware ESXi 5.1",05.01.00,11.09.12,799733
