"ESXi400-201404001","4.0.0 Patch 20",10.04.14,1682696
"ESXi400-201310001","4.0.0 Patch 19",24.10.13,1335992
"ESXi400-201305001","4.0.0 Patch 18",30.05.13,1070634
"ESXi400-201302001","4.0.0 Patch 17",07.02.13,989856
"ESXi400-201209001","4.0.0 Patch 16",14.09.12,787047
"ESXi400-201206001","4.0.0 Patch 15",12.06.12,721907
"ESXi400-201205001","4.0.0 Patch 14",03.05.12,702116
"ESXi400-201203001","4.0.0 Patch 13",30.03.12,660575
"VMware ESXi 4.0 Update 4","4.0.0 U4",17.11.11,504850
"ESXi400-201110001","4.0.0 Patch 12",13.10.11,480973
"VMware ESXi 4.0 Update 3","4.0.0 U3",05.05.11,398348
"ESXi400-201104001","4.0.0 Patch 11",28.04.11,392990
"ESXi400-201103001","4.0.0 Patch 10",07.03.11,360236
"ESXi400-201101001","4.0.0 Patch 9",04.01.11,332073
"ESXi400-201009001","4.0.0 Patch 8",30.09.10,294855
"VMware ESXi 4 Update 2","4.0.0 U2",10.06.10,261974
"ESXi400-201005001","4.0.0 Patch 7",27.05.10,256968
"ESXi400-201003001","4.0.0 Patch 6",01.04.10,244038
"ESXi400-201002001","4.0.0 Patch 5",03.03.10,236512
"ESXi400-200912001","4.0.0 Patch 4",05.01.10,219382
"VMware ESXi 4 Update 1","4.0.0 U1",19.11.09,208167
"ESXi400-200909001","4.0.0 Patch 3",24.09.09,193498
"ESXi400-200907001","4.0.0 Patch 2",06.08.09,181792
"ESXi400-200906001","4.0.0 Patch 1",09.07.09,175625
"VMware ESXi 4","4.0.0",21.05.09,164009
