"ESXi 6.0 Express Patch 8","ESXi600-201703001",2017-03-28,5224934
"ESXi 6.0 Update 3","ESXi600-update3",2017-02-24 ,5050593
"ESXi 6.0 Update 3 (Security Only)","ESXi600-update3",2017-02-24 ,5047589
"ESXi 6.0 Patch 4","ESXi600-201611001",2016-11-22,4600944
"ESXi 6.0 Patch 4 (Security Only)","ESXi600-201611001",2016-11-22,4558694
"ESXi 6.0 Express Patch 7","ESXi600-201610001",2016-10-17,4510822         
"ESXi 6.0 Patch 3","ESXi600-201608001",2016-08-04,4192238                  
"ESXi 6.0 Patch 3 (Security Only)","ESXi600-201608001",2016-08-04,4179598
"ESXi600-201605001","ESXi 6.0 Express Patch 6",2016-05-12,3825889
"VMware ESXi 6.0 Update 2","ESXi 6.0 Update 2",2016-03-15,3620759
"ESXi600-201602001","ESXi 6.0 Express Patch 5",2016-02-23,3568940
"ESXi600-201601001","ESXi 6.0 Update 1b",2016-01-07,3380124
"ESXi600-201511001","ESXi 6.0 Express Patch 4",2015-11-25,3247720
"ESXi600-201510001","ESXi 6.0 Update 1a",2015-10-06,3073146
"VMware ESXi 6.0 Update 1","ESXi 6.0 Update 1","2015-09-10",3029758
"ESXi600-201507001","ESXi 6.0b","2015-07-07",2809209
"ESXi600-201505001","","14.5.2015",2715440
"ESXi600-201504001","","9.4.2015",2615704
"VMware ESXi 6.0","ESXi 6.0 GA","12.3.2015",2494585
"VMware ESXi 6.0","ESXi 6.0 RC",10.10.2014,2159203
"VMware ESXi 6.0","ESXi 6.0 beta",30.06.2014,1921158
