"ESXi 5.5 Express Patch 11","ESXi550-201703001",2017-03-28,5230635
"ESXi 5.5 Patch 10 (Security only)","ESXi550-201612001",2016-12-20,4756874
"ESXi 5.5 Patch 10","ESXi550-201612001",2016-12-20,4722766               
"ESXi 5.5 Patch 9","ESXi550-201609001",2016-09-15,4345813                  
"ESXi 5.5 Patch 9 (Security only)","ESXi550-201609001",2016-09-15,4345810
"ESXi 5.5 Patch 3","ESXi550-201608001",2016-08-04,4179633                  
"ESXi 5.5 Patch 3 (Security only)","ESXi550-201608001",2016-08-04,4179631
"ESXi550-201602001","ESXi 5.5 Express Patch 10",2016-02-21,3568722
"ESXi550-201601001","ESXi 5.5 Express Patch 9",2016-01-04,3343343
"ESXi550-201512001","ESXi 5.5 Update 3b",2015-12-08,3248547
"ESXi550-201510001","ESXi 5.5 Update 3a",2015-10-06,3116895
"VMware ESXi 5.5 Update 3","ESXi 5.5 Update 3",2015-09-16,3029944
"ESXi550-201505002","ESXi 5.5 Patch 5","2015-05-08",2718055
"ESXi550-201504001","",2015-04-07,2638301
"ESXi550-201502001","ESXi 5.5 Express Patch 6",2015-02-05,2456374
"ESXi550-201501001","ESXi 5.5 Patch 4",2015-01-27,2403361
"ESXi550-201412001","ESXi 5.5 Express Patch 5",2014-12-02,2302651
"ESXi550-201410001","ESXi 5.5 Patch 3",2014-10-15,2143827
"VMware ESXi 5.5 Update 2","ESXi 5.5 Update 2",09.09.14,2068190
"ESXi550-201407001","ESXi 5.5 Patch 2",01.07.14,1892794
"ESXi550-201406001","ESXi 5.5 Express Patch 4",10.06.14,1881737
"ESXi550-201404020","ESXi 5.5 Express Patch 3",19.04.14,1746974
"ESXi550-201404001","ESXi 5.5 Update 1a",19.04.14,1746018
"VMware ESXi 5.5.1 Driver Rollup",,11.03.14,1636597
"VMware ESXi 5.5 Update 1","ESXi 5.5 Update 1",11.03.14,1623387
"ESXi550-201312001","ESXi 5.5 Patch 1",22.12.13,1474528
"vSAN Beta Refresh",,25.11.13,1439689
"VMware ESXi 5.5","ESXi 5.5 GA",22.09.13,1331820
