"ESXi500-201510001","",2015-10-01,3086167
"ESXi500-201502001","5.0.0 Patch 11",2015-02-26,2509828
"ESXi500-201412001","5.0.0 Patch 10",2014-12-04,2312428
"ESXi500-201408001","5.0.0 Patch 15",28.08.14,2000308
"ESXi500-201407001","5.0.0 Patch 14",01.07.14,1918656
"ESXi500-201405001","5.0.0 Patch 13",29.05.14,1851670
"ESXi500-201401001","5.0.0 Patch 12",23.01.14,1489271
"VMware ESXi 5.0 Update 3","5.0.0 U3",17.10.13,1311175
"ESXi500-201308001","5.0.0 Patch 11",29.08.13,1254542
"ESXi500-201305001","5.0.0 Patch 10",15.05.13,1117897
"ESXi500-201303001","5.0.0 Patch 9",28.03.13,1024429
"VMware ESXi 5.0 Update 2","5.0.0 U2",20.12.12,914586
"ESXi500-201209001","5.0.0 Patch 8",27.09.12,821926
"ESXi500-201207001 ","5.0.0 Patch 7",12.07.12,768111
"ESXi500-201206001","5.0.0 Patch 6",14.06.12,721882
"ESXi500-201205001","5.0.0 Patch 5",03.05.12,702118
"ESXi500-201204001","5.0.0 Patch 4",12.04.12,653509
"VMware ESXi 5.0 Update 1","5.0.0 U1",15.03.12,623860
"ESXi500-201112001","5.0.0 Patch 3",15.12.11,515841
"ESXi500-201111001","5.0.0 Patch 2",03.11.11,504890
"ESXi500-201109001","5.0.0 Patch 1",13.09.11,474610
"VMware ESXi 5.0","5.0.0",24.08.11,469512
